soc_code,growth_pct
00-0000,7.4
11-0000,8.5
11-1000,7.5
11-1011,-3.9
11-1021,9.1
11-1031,7.1
11-2000,8.5
11-2011,5.5
11-2020,8.4
11-2021,10.1
11-2022,7.5
11-2031,10.4
11-3000,11.8
11-3011,10.1
11-3021,12
11-3031,18.7
11-3051,-0.5
11-3061,5.5
11-3071,6.7
11-3111,5
11-3121,9.1
11-3131,10.3
11-9000,7.7
11-9013,-0.8
11-9021,11.1
11-9030,9.2
11-9031,10.8
11-9032,7.9
11-9033,10.1
11-9039,10.6
11-9041,5.5
11-9051,9
11-9061,6.8
11-9071,2.5
11-9081,4
11-9111,20.5
11-9121,9.9
11-9131,-20.9
11-9141,10.3
11-9151,18
11-9161,7.7
11-9199,8
13-0000,9.6
13-1000,9.4
13-1011,4.7
13-1020,-4.8
13-1021,-6.2
13-1022,-2.5
13-1023,-5.6
13-1030,-1.1
13-1031,-1.4
13-1032,4.9
13-1041,8.2
13-1051,10.5
13-1070,5.2
13-1071,7.1
13-1074,8
13-1075,-7.7
13-1081,6.9
13-1111,14.3
13-1121,10.9
13-1131,14.8
13-1141,8.5
13-1151,11.5
13-1161,23.2
13-1199,8.8
13-2000,10
13-2011,10
13-2021,14.4
13-2031,6.5
13-2041,8.4
13-2050,10
13-2051,10.9
13-2052,14.9
13-2053,-5.2
13-2061,9.8
13-2070,11.6
13-2071,13.8
13-2072,11.4
13-2080,6.3
13-2081,-0.6
13-2082,10.8
13-2099,9.6
15-0000,13.7
15-1100,13.1
15-1111,19.2
15-1120,11.8
15-1121,9.1
15-1122,28.5
15-1130,17.8
15-1131,-7.2
15-1132,30.7
15-1133,11.1
15-1134,15
15-1140,7.2
15-1141,11.5
15-1142,6.1
15-1143,6.5
15-1150,10.6
15-1151,11.3
15-1152,8.3
15-1199,9.3
15-2000,27.9
15-2011,22.5
15-2021,29.7
15-2031,27.4
15-2041,33.8
15-2090,10.3
15-2091,7.8
15-2099,11
17-0000,7.5
17-1000,6.9
17-1010,4.6
17-1011,4.2
17-1012,6.4
17-1020,13
17-1021,19.4
17-1022,11.2
17-2000,8.3
17-2011,6.1
17-2021,8.2
17-2031,7.2
17-2041,7.5
17-2051,10.6
17-2061,5.5
17-2070,6.5
17-2071,8.6
17-2072,3.7
17-2081,8.3
17-2110,9.6
17-2111,8.6
17-2112,9.7
17-2121,11.5
17-2131,1.6
17-2141,8.8
17-2151,8.2
17-2161,3.8
17-2171,15.2
17-2199,6.4
17-3000,5.7
17-3010,7
17-3011,8.1
17-3012,6.8
17-3013,5.2
17-3019,8
17-3020,4.4
17-3021,6.6
17-3022,8.8
17-3023,2
17-3024,3.5
17-3025,12.9
17-3026,0.6
17-3027,5
17-3029,5.2
17-3031,10.6
19-0000,9.6
19-1000,10
19-1010,7.2
19-1011,5.9
19-1012,5.7
19-1013,8.8
19-1020,8.9
19-1021,11.5
19-1022,8.2
19-1023,7.6
19-1029,8
19-1030,5.8
19-1031,6.3
19-1032,5
19-1040,13.2
19-1041,8.8
19-1042,13.4
19-1099,9.2
19-2000,9.7
19-2010,14
19-2011,10
19-2012,14.5
19-2021,12
19-2030,6.5
19-2031,6.5
19-2032,7.1
19-2040,11.8
19-2041,11.1
19-2042,14
19-2043,9.9
19-2099,7.2
19-3000,10.8
19-3011,6.3
19-3022,2.5
19-3030,13.8
19-3031,14.3
19-3032,8.4
19-3039,10.5
19-3041,1.3
19-3051,12.8
19-3090,5.8
19-3091,4.5
19-3092,6.7
19-3093,6
19-3094,2.8
19-3099,6.5
19-4000,8.2
19-4011,6.3
19-4021,10.2
19-4031,4
19-4041,16.4
19-4051,0.8
19-4061,4.3
19-4090,9.7
19-4091,12.1
19-4092,16.8
19-4093,3.8
19-4099,9.7
21-0000,14.5
21-1000,15.9
21-1010,17
21-1011,23.2
21-1012,12.6
21-1013,23.4
21-1014,23.1
21-1015,12.7
21-1019,14.3
21-1020,16.1
21-1021,14.2
21-1022,20.1
21-1023,19.3
21-1029,8.3
21-1090,14.5
21-1091,14.5
21-1092,5.7
21-1093,16.4
21-1094,18.1
21-1099,13.2
21-2000,7.7
21-2011,8.2
21-2021,7.1
21-2099,7.7
23-0000,9.1
23-1000,8
23-1010,8.2
23-1011,8.2
23-1012,5.5
23-1020,5.8
23-1021,4
23-1022,10.4
23-1023,5.6
23-2000,11.2
23-2011,14.6
23-2090,4
23-2091,3.4
23-2093,4.4
23-2099,3.8
25-0000,9.4
25-1000,12.7
25-1011,18.1
25-1020,8.8
25-1021,8.1
25-1022,9.2
25-1030,13.9
25-1031,10.6
25-1032,14.6
25-1040,13.7
25-1041,7.5
25-1042,15.2
25-1043,7.8
25-1050,9.8
25-1051,9.5
25-1052,9.9
25-1053,9.6
25-1054,10
25-1060,11.8
25-1061,10
25-1062,10.5
25-1063,10.6
25-1064,8.4
25-1065,10.6
25-1066,15.1
25-1067,9.8
25-1069,10
25-1070,25.5
25-1071,25.9
25-1072,24
25-1080,10.2
25-1081,10.3
25-1082,9
25-1110,11.7
25-1111,12.5
25-1112,12.3
25-1113,9.9
25-1120,11.1
25-1121,12
25-1122,10
25-1123,9.8
25-1124,11.9
25-1125,10.3
25-1126,12.3
25-1190,7
25-1191,7.7
25-1192,7.8
25-1193,9.7
25-1194,1.4
25-1199,9.4
25-2000,7.8
25-2010,9.8
25-2011,10.5
25-2012,7.9
25-2020,7.4
25-2021,7.4
25-2022,7.5
25-2023,7.3
25-2030,7.5
25-2031,7.5
25-2032,6.4
25-2050,7.8
25-2051,11.2
25-2052,7.4
25-2053,7.1
25-2054,7.4
25-2059,9.8
25-3000,10.7
25-3011,-5.1
25-3021,16.2
25-3099,9.9
25-4000,9.5
25-4010,13.5
25-4011,14.3
25-4012,14
25-4013,12.4
25-4021,8.9
25-4031,9.1
25-9000,8.8
25-9011,8.9
25-9021,7.5
25-9031,10.5
25-9041,8.4
25-9099,10.8
27-0000,6.1
27-1000,4
27-1010,6.5
27-1011,5.4
27-1012,4.3
27-1013,6.6
27-1014,8.4
27-1019,5.5
27-1020,3.2
27-1021,4.4
27-1022,2.6
27-1023,-6.4
27-1024,4.2
27-1025,4.4
27-1026,3.2
27-1027,10.3
27-1029,5.8
27-2000,9.9
27-2010,12
27-2011,11.6
27-2012,12.2
27-2020,12.3
27-2021,7.5
27-2022,12.9
27-2023,7.6
27-2030,4
27-2031,4.6
27-2032,2.8
27-2040,5.9
27-2041,5.7
27-2042,6
27-2099,8.1
27-3000,5.6
27-3010,-8.5
27-3011,-11.6
27-3012,2.5
27-3020,-8.9
27-3021,-0.4
27-3022,-10
27-3031,8.8
27-3040,4.5
27-3041,-1.4
27-3042,11
27-3043,7.6
27-3090,15.1
27-3091,17.7
27-3099,9.9
27-4000,3.2
27-4010,7.9
27-4011,12.9
27-4012,-3.2
27-4013,-1
27-4014,6.3
27-4021,-5.6
27-4030,12.7
27-4031,7
27-4032,17
27-4099,7.9
29-0000,15.3
29-1000,16.3
29-1011,12.5
29-1020,19.1
29-1021,19.4
29-1022,19.1
29-1023,19.3
29-1024,19.1
29-1029,13.3
29-1031,14.6
29-1041,17.9
29-1051,5.6
29-1060,12.8
29-1061,15.4
29-1062,14.3
29-1063,14.6
29-1064,15.5
29-1065,15.4
29-1066,11.2
29-1067,14.4
29-1069,11.4
29-1071,37.3
29-1081,10.3
29-1120,22.8
29-1122,23.8
29-1123,28
29-1124,12.8
29-1125,6.5
29-1126,23.4
29-1127,17.8
29-1128,13.1
29-1129,19.9
29-1131,18.8
29-1141,14.8
29-1151,16.2
29-1161,20.7
29-1171,36.1
29-1181,20.7
29-1199,13.3
29-2000,13.6
29-2010,12.7
29-2011,11.5
29-2012,14
29-2021,19.7
29-2030,13.9
29-2031,9.9
29-2032,23.2
29-2033,9.8
29-2034,12.3
29-2035,13.7
29-2041,15.1
29-2050,11.8
29-2051,9.3
29-2052,11.8
29-2053,5.9
29-2054,-56.3
29-2055,11.7
29-2056,20
29-2057,19.5
29-2061,12.3
29-2071,13.5
29-2081,15
29-2090,19.8
29-2091,22.2
29-2092,19.5
29-2099,19.7
29-9000,12.1
29-9010,8.5
29-9011,8.1
29-9012,10.1
29-9090,17.3
29-9091,22.8
29-9092,29
29-9099,12.6
31-0000,23.6
31-1000,24
31-1011,47.3
31-1013,5.5
31-1014,11.5
31-1015,8.1
31-2000,29.9
31-2010,28.3
31-2011,28.9
31-2012,24.7
31-2020,30.4
31-2021,31
31-2022,29.4
31-9000,22.2
31-9011,26.3
31-9090,21.7
31-9091,19.5
31-9092,29
31-9093,11.1
31-9094,-3.4
31-9095,-4.8
31-9096,19.4
31-9097,24.5
31-9099,11.7
33-0000,4.5
33-1000,3.9
33-1010,2.3
33-1011,-7.8
33-1012,6.6
33-1021,7.2
33-1099,4.6
33-2000,7.3
33-2011,7.2
33-2020,9.7
33-2021,7.3
33-2022,26.6
33-3000,1.2
33-3010,-7.4
33-3011,-2.1
33-3012,-7.7
33-3021,4.5
33-3031,4.3
33-3041,-35.3
33-3050,7
33-3051,7
33-3052,6.3
33-9000,6.7
33-9011,8.5
33-9021,10.6
33-9030,6.3
33-9031,3.5
33-9032,6.3
33-9090,7.5
33-9091,8.5
33-9092,7.7
33-9093,2.6
33-9099,8.4
35-0000,9.3
35-1000,9.4
35-1011,9.6
35-1012,9.3
35-2000,6.6
35-2010,6.1
35-2011,-5.2
35-2012,7.7
35-2013,5.5
35-2014,11.8
35-2015,-3.3
35-2019,9
35-2021,7.9
35-3000,11.1
35-3011,2.5
35-3020,15.2
35-3021,16.8
35-3022,4.6
35-3031,7
35-3041,10.2
35-9000,6.1
35-9011,7.1
35-9021,4.3
35-9031,6.9
35-9099,9.3
37-0000,9.3
37-1000,10.5
37-1011,9.9
37-1012,11.4
37-2000,8.5
37-2010,8.5
37-2011,9.9
37-2012,6.1
37-2019,12.8
37-2021,8.2
37-3000,11.2
37-3011,11.3
37-3012,7.8
37-3013,11.7
37-3019,9.2
39-0000,19.1
39-1000,13
39-1010,4.1
39-1011,3.9
39-1012,4.6
39-1021,14.6
39-2000,21.8
39-2011,11.2
39-2021,24.2
39-3000,7.1
39-3010,1.4
39-3011,1.2
39-3012,3.8
39-3019,0.7
39-3021,-9.7
39-3031,7.5
39-3090,9.4
39-3091,9.3
39-3092,9.7
39-3093,8.7
39-3099,11.4
39-4000,3
39-4011,-0.8
39-4021,2.7
39-4031,3.9
39-5000,13.1
39-5010,13
39-5011,13.4
39-5012,13
39-5090,13.4
39-5091,12.5
39-5092,13.2
39-5093,13.4
39-5094,13.8
39-6000,9.5
39-6011,8.2
39-6012,11.3
39-7000,9.9
39-7011,10.3
39-7012,4.9
39-9000,23
39-9011,6.9
39-9021,38.6
39-9030,9.3
39-9031,10.1
39-9032,8.7
39-9041,12.9
39-9099,7.9
41-0000,2.9
41-1000,4
41-1011,3.8
41-1012,4.9
41-2000,1
41-2010,-0.8
41-2011,-0.9
41-2012,2.6
41-2020,5.3
41-2021,5.5
41-2022,5
41-2031,1.7
41-3000,7.3
41-3011,-3.6
41-3021,9.9
41-3031,6.2
41-3041,-11.7
41-3099,9.7
41-4000,5.2
41-4011,5.1
41-4012,5.2
41-9000,4.6
41-9010,6.2
41-9011,6.6
41-9012,-1.3
41-9020,5.6
41-9021,4.9
41-9022,5.8
41-9031,6.9
41-9041,0
41-9090,5.8
41-9091,0.1
41-9099,10.6
43-0000,0.6
43-1000,3.4
43-1011,3.4
43-2000,-19.4
43-2011,-19.9
43-2021,-22.6
43-2099,10.4
43-3000,-0.2
43-3011,-3
43-3021,14.1
43-3031,-1.5
43-3041,1.4
43-3051,-0.9
43-3061,-4.3
43-3071,-8.3
43-3099,9.9
43-4000,5.3
43-4011,5
43-4021,2.1
43-4031,6.5
43-4041,-2.8
43-4051,4.9
43-4061,6
43-4071,-10.4
43-4081,4.4
43-4111,5.7
43-4121,9.4
43-4131,12.3
43-4141,-6.2
43-4151,-2.1
43-4161,-1.8
43-4171,9.1
43-4181,3.8
43-4199,7.6
43-5000,2
43-5011,10.4
43-5021,11.5
43-5030,2.7
43-5031,8.3
43-5032,-0.1
43-5041,-4.4
43-5050,-13
43-5051,-12.1
43-5052,-12.1
43-5053,-16.5
43-5061,5.5
43-5071,0
43-5081,5
43-5111,1.8
43-6000,-4.8
43-6011,-17.4
43-6012,-19.1
43-6013,22.5
43-6014,-6.5
43-9000,-1.7
43-9011,-22.8
43-9020,-24.4
43-9021,-21.2
43-9022,-33.1
43-9031,-14
43-9041,11.1
43-9051,-7.4
43-9061,-1
43-9071,-15.6
43-9081,1.7
43-9111,9.2
43-9199,9.1
45-0000,-0.3
45-1000,1.9
45-1011,1.9
45-2000,0
45-2011,4.6
45-2021,2
45-2041,-0.9
45-2090,-0.1
45-2091,5.5
45-2092,1.1
45-2093,-3.8
45-2099,4.4
45-3000,10.8
45-4000,-10.4
45-4011,-2.4
45-4020,-12.5
45-4021,-16.2
45-4022,-12.6
45-4023,-3
45-4029,-14.7
47-0000,11
47-1000,12.6
47-1011,12.6
47-2000,10.5
47-2011,9
47-2020,10.2
47-2021,10.3
47-2022,9.5
47-2031,8.2
47-2040,9.6
47-2041,9.4
47-2042,9.7
47-2043,9.5
47-2044,9.7
47-2050,12.6
47-2051,12.6
47-2053,12.3
47-2061,12.4
47-2070,12.3
